Date,Open,High,Low,Close,Adj Close,Volume
2016-03-29,113.83000200000001,116.32,113.639999,116.139999,116.139999,29765800
2016-03-30,116.730003,116.989998,114.360001,114.699997,114.699997,33235200
2016-03-31,114.699997,115.010002,113.769997,114.099998,114.099998,21207500
2016-04-01,113.75,116.16999799999999,113.349998,116.059998,116.059998,24760500
2016-04-04,114.07,114.550003,111.610001,112.550003,112.550003,48487900
2016-04-05,112.110001,113.32,111.900002,112.220001,112.220001,22962400
2016-04-06,112.470001,113.809998,112.41999799999999,113.709999,113.709999,20522400
2016-04-07,113.790001,114.889999,113.07,113.639999,113.639999,20714500
2016-04-08,114.25,114.33000200000001,109.900002,110.629997,110.629997,48497800
2016-04-11,110.699997,110.910004,108.769997,108.989998,108.989998,39762300
2016-04-12,109.339996,111.160004,108.989998,110.610001,110.610001,26175900
2016-04-13,112.230003,112.650002,106.519997,110.510002,110.510002,88227400
2016-04-14,110.620003,112.040001,110.260002,110.839996,110.839996,28430900
2016-04-15,110.790001,110.970001,109.199997,109.639999,109.639999,20922800
2016-04-18,109.739998,110.809998,109.199997,110.449997,110.449997,21092700
2016-04-19,111.099998,112.449997,109.160004,112.290001,112.290001,30210500
2016-04-20,112.43,113.269997,111.559998,112.41999799999999,112.41999799999999,21027900
2016-04-21,112.550003,114.040001,112.309998,113.440002,113.440002,20875200
2016-04-22,111.209999,111.75,109.010002,110.559998,110.559998,38458200
2016-04-25,109.870003,110.66999799999999,109.07,110.099998,110.099998,21017900
2016-04-26,110.489998,110.5,108.150002,108.760002,108.760002,22521500
2016-04-27,107.940002,108.940002,106.309998,108.889999,108.889999,52213100
2016-04-28,119.58000200000001,120.790001,116.230003,116.730003,116.730003,87110100
2016-04-29,116.82,117.839996,115.839996,117.58000200000001,117.58000200000001,37140600
2016-05-02,117.83000200000001,118.730003,116.57,118.57,118.57,28095200
2016-05-03,117.519997,118.160004,117.019997,117.43,117.43,24117500
2016-05-04,116.610001,118.300003,116.57,118.059998,118.059998,23380200
2016-05-05,118.040001,118.980003,117.25,117.809998,117.809998,22056700
2016-05-06,117.160004,119.639999,117.110001,119.489998,119.489998,26395600
2016-05-09,119.540001,120.279999,118.900002,119.239998,119.239998,21138100
2016-05-10,119.620003,120.5,119.0,120.5,120.5,22803700
2016-05-11,120.410004,121.08000200000001,119.41999799999999,119.519997,119.519997,22038400
2016-05-12,119.980003,120.839996,118.900002,120.279999,120.279999,22035500
2016-05-13,120.379997,120.639999,119.68,119.809998,119.809998,18124300
2016-05-16,119.379997,119.610001,117.349998,118.66999799999999,118.66999799999999,31247800
2016-05-17,118.82,119.010002,117.199997,117.349998,117.349998,21328600
2016-05-18,116.800003,118.269997,116.730003,117.650002,117.650002,21642300
2016-05-19,117.050003,117.489998,115.879997,116.809998,116.809998,20544100
2016-05-20,116.959999,117.989998,116.949997,117.349998,117.349998,18944800
2016-05-23,117.41999799999999,117.599998,115.940002,115.970001,115.970001,20367400
2016-05-24,116.239998,117.730003,116.120003,117.699997,117.699997,20183600
2016-05-25,118.129997,118.66999799999999,117.379997,117.889999,117.889999,20019800
2016-05-26,118.239998,119.760002,117.91999799999999,119.470001,119.470001,18191500
2016-05-27,119.559998,119.849998,119.010002,119.379997,119.379997,13493600
2016-05-31,119.459999,120.099998,118.120003,118.809998,118.809998,23547600
2016-06-01,118.5,119.08000200000001,117.82,118.779999,118.779999,15029500
2016-06-02,118.690002,119.440002,118.220001,118.93,118.93,13189900
2016-06-03,118.980003,118.980003,117.860001,118.470001,118.470001,14135100
2016-06-06,118.620003,119.43,118.360001,118.790001,118.790001,12744700
2016-06-07,119.239998,119.300003,117.66999799999999,117.760002,117.760002,17103000
2016-06-08,117.760002,118.599998,117.269997,118.389999,118.389999,14505600
2016-06-09,118.129997,118.68,117.709999,118.559998,118.559998,13859200
2016-06-10,117.540001,118.110001,116.260002,116.620003,116.620003,18510800
2016-06-13,115.0,115.480003,113.309998,113.949997,113.949997,31718200
2016-06-14,114.07,114.949997,113.58000200000001,114.940002,114.940002,17618500
2016-06-15,115.300003,115.440002,114.07,114.599998,114.599998,19819400
2016-06-16,113.870003,114.5,112.940002,114.389999,114.389999,19236300
Date,Open,High,Low,Close,Adj Close,Volume
2016-03-29,113.83000200000001,116.32,113.639999,116.139999,116.139999,29765800
2016-03-30,116.730003,116.989998,114.360001,114.699997,114.699997,33235200
2016-03-31,114.699997,115.010002,113.769997,114.099998,114.099998,21207500
2016-04-01,113.75,116.16999799999999,113.349998,116.059998,116.059998,24760500
2016-04-04,114.07,114.550003,111.610001,112.550003,112.550003,48487900
2016-04-05,112.110001,113.32,111.900002,112.220001,112.220001,22962400
2016-04-06,112.470001,113.809998,112.41999799999999,113.709999,113.709999,20522400
2016-04-07,113.790001,114.889999,113.07,113.639999,113.639999,20714500
2016-04-08,114.25,114.33000200000001,109.900002,110.629997,110.629997,48497800
2016-04-11,110.699997,110.910004,108.769997,108.989998,108.989998,39762300
2016-04-12,109.339996,111.160004,108.989998,110.610001,110.610001,26175900
2016-04-13,112.230003,112.650002,106.519997,110.510002,110.510002,88227400
2016-04-14,110.620003,112.040001,110.260002,110.839996,110.839996,28430900
2016-04-15,110.790001,110.970001,109.199997,109.639999,109.639999,20922800
2016-04-18,109.739998,110.809998,109.199997,110.449997,110.449997,21092700
2016-04-19,111.099998,112.449997,109.160004,112.290001,112.290001,30210500
2016-04-20,112.43,113.269997,111.559998,112.41999799999999,112.41999799999999,21027900
2016-04-21,112.550003,114.040001,112.309998,113.440002,113.440002,20875200
2016-04-22,111.209999,111.75,109.010002,110.559998,110.559998,38458200
2016-04-25,109.870003,110.66999799999999,109.07,110.099998,110.099998,21017900
2016-04-26,110.489998,110.5,108.150002,108.760002,108.760002,22521500
2016-04-27,107.940002,108.940002,106.309998,108.889999,108.889999,52213100
2016-04-28,119.58000200000001,120.790001,116.230003,116.730003,116.730003,87110100
